,x,y,z
898,133575.88460000002,1415599.7330000002,96.87105
899,133575.5857,1415599.8062,96.84055
900,133575.27765,1415599.8855,96.88019999999999
901,133574.6707,1415600.0288500001,96.87105
902,133574.06375,1415600.18135,96.85884999999999
903,133573.76485,1415600.2545500002,96.85275
904,133572.85595,1415600.4741500001,96.84055
905,133572.554,1415600.5473500001,96.8253
906,133571.95315000002,1415600.6907000002,96.80395
907,133571.04425,1415600.9164000002,96.81615
908,133570.4434,1415601.05975,96.7887
909,133568.9306,1415601.4257500002,96.7948
910,133568.6317,1415601.50505,96.8009
911,133568.32975,1415601.5751999998,96.8009
912,133568.03085,1415601.6483999998,96.7826
913,133567.7289,1415601.7216,96.76125
914,133567.4239,1415601.8009,96.79785
915,133567.12195,1415601.8741,96.8131
916,133567.1494,1415601.4043999999,96.79175000000001
917,133567.75024999998,1415601.25495,96.80395
918,133568.3511,1415601.10855,96.81615
919,133569.23864999998,1415600.8980999999,96.91985
920,133569.5467,1415600.8188,96.8497
921,133569.86085,1415600.73645,96.78564999999999
922,133570.16585000002,1415600.6541,96.72465
923,133570.76365,1415600.5138,96.79785
924,133571.36755,1415600.36435,96.7826
925,133571.6634,1415600.2942000001,96.8253
926,133571.95620000002,1415600.2270999998,96.88019999999999
927,133572.2734,1415600.1356,96.74905
928,133572.5601,1415600.0746,96.86189999999999
929,133573.77705,1415599.7696,96.83749999999999
930,133574.07595,1415599.7025,96.8558
931,133574.3779,1415599.62625,96.85275
932,133574.6768,1415599.5561000002,96.87105
933,133574.97875,1415599.47375,96.8314
934,133575.2685,1415599.41275,96.92595
935,133576.18655,1415599.184,96.88019999999999
936,133576.49155,1415599.10775,96.85884999999999
937,133576.7874,1415599.0376000002,96.89545
938,133577.69934999998,1415598.8088500001,96.8497
939,133579.813,1415598.2933999998,96.88019999999999
940,133580.423,1415598.14395,96.8863
941,133581.33800000002,1415597.9213,96.90765
942,133581.9419,1415597.77185,96.92290000000001
943,133582.8569,1415597.5461499998,96.9107
944,133583.15885,1415597.476,96.94120000000001
945,133584.08604999998,1415597.24115,96.86495000000001
946,133584.38495,1415597.1679500001,96.8863
947,133584.6869,1415597.0977999999,96.9046
948,133585.60495,1415596.866,96.85275
949,133588.03579999998,1415596.2682,96.86189999999999
950,133588.3347,1415596.195,96.8985
951,133589.56995,1415595.89,96.8558
952,133589.87495,1415595.8168,96.86189999999999
953,133593.538,1415594.92315,96.92290000000001
954,133594.4652,1415594.69135,96.90154999999999
955,133594.7824,1415594.60595,96.8253
956,133595.0752,1415594.54495,96.92595
957,133595.7096,1415594.3772,96.81005
958,133595.99325,1415594.3192500002,96.93205
959,133596.62764999998,1415594.1576,96.86495000000001
960,133597.2224,1415594.0173000002,96.9473
961,133597.5213,1415593.94715,96.99305
962,133597.83239999998,1415593.8709,96.97475
963,133598.45155,1415593.71535,96.929
964,133598.75960000002,1415593.6391,96.92595
965,133599.0585,1415593.5689499998,96.9839
966,133598.20755000002,1415593.68485,96.96560000000001
967,133595.13315,1415594.43515,96.92595
968,133594.20595,1415594.6608499999,96.91985
969,133593.90399999998,1415594.7340499999,96.89545
970,133592.9707,1415594.9658499998,96.92290000000001
971,133592.6718,1415595.0329500001,96.86495000000001
972,133592.3607,1415595.1153,96.92290000000001
973,133591.1407,1415595.40505,96.85884999999999
974,133589.91155,1415595.71005,96.88325
975,133589.29545,1415595.8564499998,96.8863
976,133587.76434999998,1415596.23465,96.8863
977,133587.15435,1415596.3841,96.88325
978,133586.8463,1415596.4634,96.91375
979,133586.54739999998,1415596.52745,96.85275
980,133586.23935,1415596.60675,96.88019999999999
981,133585.9313,1415596.6830000002,96.8985
982,133585.3213,1415596.8324499999,96.88325
983,133585.01630000002,1415596.9087,96.91985
984,133584.7174,1415596.9758000001,96.87715
985,133584.40935,1415597.0551,96.8924
986,133583.79935,1415597.2076,96.9107
987,133583.48825,1415597.2808,96.9168
988,133583.18325,1415597.3570500002,96.92290000000001
989,133582.57325000002,1415597.5065,96.90154999999999
990,133581.6613,1415597.72915,96.8985
991,133581.05130000002,1415597.8786000002,96.9046
992,133580.4413,1415598.025,96.9168
993,133580.14239999998,1415598.0982000001,96.89545
994,133579.53545,1415598.24765,96.9107
995,133577.11375,1415598.83935,96.89545
996,133575.89985000002,1415599.1352,96.90154999999999
997,133575.60095000002,1415599.20535,96.8558
998,133574.08815,1415599.5744,96.84055
999,133573.48425,1415599.72385,96.84055
1000,133573.1823,1415599.7970500002,96.8436
1001,133572.88035,1415599.87025,96.8436
1002,133572.58145,1415599.9404,96.8131
1003,133571.3706,1415600.2393,96.83445
1004,133571.06865,1415600.30945,96.83445
